ip,city,country,org,lat,lon
74.6.231.21,Omaha,US,AS36646 Yahoo Holdings Inc.,41.2563,-95.9404
2001:4998:44:3507::8001,Omaha,US,AS36646 Yahoo Holdings Inc.,41.2563,-95.9404
2001:4998:24:120d::1:0,Quincy,US,AS36647 Yahoo Holdings Inc.,47.2343,-119.8525
2001:4998:124:1507::f001,Buffalo,US,AS26101 Yahoo Holdings Inc.,42.8865,-78.8784
2a00:1450:400f:802::200e,Stockholm,SE,AS15169 Google LLC,59.3294,18.0687
74.6.143.26,Buffalo,US,AS26101 Yahoo Holdings Inc.,42.8865,-78.8784
2001:4998:124:1507::f000,Buffalo,US,AS26101 Yahoo Holdings Inc.,42.8865,-78.8784
2a02:6b8:a::a,Moscow,RU,AS13238 YANDEX LLC,55.7520,37.6178
34.117.186.192,Kansas City,US,AS396982 Google LLC,39.0997,-94.5786
77.88.55.88,Moscow,RU,AS13238 YANDEX LLC,55.7520,37.6178
77.88.55.60,Moscow,RU,AS13238 YANDEX LLC,55.7520,37.6178
142.250.186.196,Warsaw,PL,AS15169 Google LLC,52.2298,21.0118
2001:4998:24:120d::1:1,Quincy,US,AS36647 Yahoo Holdings Inc.,47.2343,-119.8525
172.217.16.4,Warsaw,PL,AS15169 Google LLC,52.2298,21.0118
142.250.74.78,Stockholm,SE,AS15169 Google LLC,59.3294,18.0687
142.251.1.113,Hamina,FI,AS15169 Google LLC,60.5697,27.1979
5.255.255.70,Moscow,RU,AS13238 YANDEX LLC,55.7520,37.6178
64.233.165.106,Hamina,FI,AS15169 Google LLC,60.5697,27.1979
193.70.18.144,Strasbourg,FR,AS16276 OVH SAS,48.5839,7.7455
74.6.231.20,Omaha,US,AS36646 Yahoo Holdings Inc.,41.2563,-95.9404
2001:4998:44:3507::8000,Omaha,US,AS36646 Yahoo Holdings Inc.,41.2563,-95.9404
64.233.165.147,Hamina,FI,AS15169 Google LLC,60.5697,27.1979
64.233.165.99,Hamina,FI,AS15169 Google LLC,60.5697,27.1979
98.137.11.163,Quincy,US,AS36647 Yahoo Holdings Inc.,47.2343,-119.8525
google.com,Quincy,US,AS36647 Yahoo Holdings Inc.,47.2343,-119.8525
5.255.255.77,Moscow,RU,AS13238 YANDEX LLC,55.7520,37.6178
74.6.143.25,Buffalo,US,AS26101 Yahoo Holdings Inc.,42.8865,-78.8784
98.137.11.164,Quincy,US,AS36647 Yahoo Holdings Inc.,47.2343,-119.8525
